strain	date	country	continent
PQ064844.1	2024-01-29	Brazil	South America
PQ064847.1	2024-01-29	Brazil	South America
PQ064850.1	2024-01-03	Brazil	South America
PQ064853.1	2024-01-01	Brazil	South America
PQ064856.1	2023-12-28	Brazil	South America
PQ064859.1	2023-12-27	Brazil	South America
PQ064862.1	2024-01-03	Brazil	South America
PQ064865.1	2024-01-03	Brazil	South America
PQ064868.1	2023-12-25	Brazil	South America
PQ064871.1	2023-12-22	Brazil	South America
PQ064874.1	2024-01-03	Brazil	South America
PQ064877.1	2023-12-23	Brazil	South America
PQ064880.1	2023-12-23	Brazil	South America
PQ064883.1	2024-02-01	Brazil	South America
PQ064886.1	2023-12-23	Brazil	South America
PQ064889.1	2024-01-03	Brazil	South America
PQ064892.1	2023-12-23	Brazil	South America
PQ064895.1	2024-01-30	Brazil	South America
PQ064898.1	2023-12-23	Brazil	South America
PQ064901.1	2024-01-03	Brazil	South America
PQ064904.1	2024-01-04	Brazil	South America
PQ064907.1	2023-12-24	Brazil	South America
PQ064910.1	2023-12-25	Brazil	South America
PQ064913.1	2023-12-25	Brazil	South America
PQ064916.1	2023-12-25	Brazil	South America
PQ064919.1	2024-01-03	Brazil	South America
PQ064922.1	2024-01-03	Brazil	South America
PQ064925.1	2024-01-03	Brazil	South America
PQ064928.1	2023-12-21	Brazil	South America
PQ064931.1	2024-01-04	Brazil	South America
PQ064934.1	2024-01-04	Brazil	South America
PQ064937.1	2024-01-03	Brazil	South America
PQ064940.1	2024-01-03	Brazil	South America
PQ064943.1	2024-01-03	Brazil	South America
PQ064946.1	2024-01-24	Brazil	South America
PQ064949.1	2023-12-26	Brazil	South America
PQ064952.1	2024-01-05	Brazil	South America
PQ064955.1	2024-01-04	Brazil	South America
PQ064958.1	2024-01-04	Brazil	South America
PQ064961.1	2024-01-05	Brazil	South America
PQ064964.1	2024-01-04	Brazil	South America
PQ064967.1	2024-01-04	Brazil	South America
PQ064970.1	2024-01-04	Brazil	South America
PQ064973.1	2024-02-01	Brazil	South America
PQ064976.1	2024-01-05	Brazil	South America
PQ064979.1	2024-01-04	Brazil	South America
PQ064982.1	2024-01-05	Brazil	South America
PQ064985.1	2024-02-07	Brazil	South America
PQ064988.1	2024-01-05	Brazil	South America
PQ064991.1	2024-02-08	Brazil	South America
PQ064994.1	2024-02-08	Brazil	South America
PQ064997.1	2024-01-23	Brazil	South America
PQ065000.1	2024-01-16	Brazil	South America
PQ065003.1	2024-01-18	Brazil	South America
PQ065006.1	2024-01-25	Brazil	South America
PQ065009.1	2024-01-25	Brazil	South America
PQ065012.1	2024-01-31	Brazil	South America
PQ065015.1	2024-01-24	Brazil	South America
PQ065018.1	2024-02-02	Brazil	South America
PQ065021.1	2024-02-02	Brazil	South America
PQ065024.1	2024-02-03	Brazil	South America
PQ065027.1	2024-02-03	Brazil	South America
PQ065030.1	2024-02-03	Brazil	South America
