strain	date	country	continent
MT879230.1	2018-03-30	Brazil	South America
NC_005777.1			
PP153945.1	2023-05-11	Brazil	South America
PP153948.1	2023-03-02	Brazil	South America
PP153951.1	2023-01-09	Brazil	South America
PP153954.1	2023-03-23	Brazil	South America
PP153957.1	2023-03-14	Brazil	South America
PP153960.1	2023-03-09	Brazil	South America
PP153963.1	2023-03-08	Brazil	South America
PP153966.1	2023-02-14	Brazil	South America
PP153969.1	2023-02-06	Brazil	South America
PP153972.1	2023-02-01	Brazil	South America
PP153975.1	2023-01-25	Brazil	South America
PP153977.1	2022-10-31	Brazil	South America
PP153981.1	2022-08-30	Brazil	South America
PP153984.1	2023-08-07	Brazil	South America
PP153987.1	2023-08-08	Brazil	South America
PP153990.1	2023-08-09	Brazil	South America
PP153993.1	2023-02-13	Brazil	South America
PP153997.1	2023-02-16	Brazil	South America
PP153999.1	2023-02-10	Brazil	South America
PP154002.1	2023-02-09	Brazil	South America
PP154005.1	2023-02-02	Brazil	South America
PP154008.1	2023-02-01	Brazil	South America
PP154011.1	2023-01-31	Brazil	South America
PP154014.1	2023-02-18	Brazil	South America
PP154017.1	2023-03-02	Brazil	South America
PP154020.1	2023-04-18	Brazil	South America
PP154023.1	2023-03-16	Brazil	South America
PP154026.1	2023-03-14	Brazil	South America
PP154029.1	2023-03-21	Brazil	South America
PP154032.1	2023-03-30	Brazil	South America
PP154035.1	2023-04-05	Brazil	South America
PP154038.1	2023-05-10	Brazil	South America
PP154041.1	2023-12-11	Brazil	South America
PP154044.1	2023-12-12	Brazil	South America
PP154047.1	2023-12-12	Brazil	South America
PP154050.1	2023-12-11	Brazil	South America
PP154053.1	2023-12-11	Brazil	South America
PP154056.1	2023-12-11	Brazil	South America
PP154059.1	2023-12-11	Brazil	South America
PP154062.1	2023-12-11	Brazil	South America
PP154065.1	2023-12-10	Brazil	South America
PP154068.1	2023-12-09	Brazil	South America
PP154071.1	2023-12-08	Brazil	South America
PP154074.1	2023-12-08	Brazil	South America
PP154077.1	2023-12-08	Brazil	South America
PP154080.1	2023-12-09	Brazil	South America
PP154083.1	2023-12-09	Brazil	South America
PP154086.1	2023-12-08	Brazil	South America
PP154089.1	2023-12-10	Brazil	South America
PP154092.1	2023-12-10	Brazil	South America
PP154095.1	2023-12-10	Brazil	South America
PP154098.1	2023-12-10	Brazil	South America
PP154101.1	2023-12-06	Brazil	South America
PP154104.1	2023-12-04	Brazil	South America
PP154107.1	2023-12-04	Brazil	South America
PP154110.1	2023-12-03	Brazil	South America
PP154113.1	2023-12-02	Brazil	South America
PP154116.1	2023-12-02	Brazil	South America
PP154119.1	2023-11-30	Brazil	South America
PP154122.1	2023-11-30	Brazil	South America
PP154125.1	2023-11-30	Brazil	South America
PP154128.1	2022-12-24	Brazil	South America
PP154131.1	2023-02-16	Brazil	South America
PP154134.1	2023-02-16	Brazil	South America
PP154137.1	2023-02-15	Brazil	South America
PP154140.1	2023-02-15	Brazil	South America
PP154143.1	2023-02-13	Brazil	South America
PP154146.1	2023-01-17	Brazil	South America
PP154149.1	2023-01-04	Brazil	South America
PP154152.1	2023-03-13	Brazil	South America
PP154155.1	2023-03-06	Brazil	South America
PP154158.1	2023-03-30	Brazil	South America
PP154161.1	2023-03-31	Brazil	South America
PP154164.1	2023-03-02	Brazil	South America
PP154167.1	2023-03-01	Brazil	South America
PP154170.1	2015-04-13	Brazil	South America
PP357050.1	1991	Brazil	South America
PP477309.1	2024-02-05	Colombia	South America
PP477310.1	2024-02-13	Colombia	South America
PP477311.1	2024-02-12	Colombia	South America
PP477312.1	2024-02-06	Colombia	South America
PP477313.1	2024-02-15	Colombia	South America
PP477314.1	2024-02-08	Colombia	South America
PP874910.1	2024-05-29	Cuba	North America
PP921382.1	2024-05-22	Cuba	North America
PP921383.1	2024-05-22	Cuba	North America
PP921384.1	2024-05-22	Cuba	North America
PP921385.1	2024-05-12	Cuba	North America
PP921386.1	2024-05-13	Cuba	North America
PP921387.1	2024-05-12	Cuba	North America
PP921388.1	2024-05-12	Cuba	North America
PP921389.1	2024-05-12	Cuba	North America
PP921390.1	2024-05-17	Cuba	North America
PP952117.3	2024-06	Italy	Europe
PP966964.1	2023-12-28	Peru	South America
PP966965.1	2024-01-16	Peru	South America
PP966966.1	2024-01-31	Peru	South America
PP966967.1	2024-02-06	Peru	South America
PP966968.1	2023-12-18	Peru	South America
