strain	date	country	continent
PP154123.1	2023-11-30	Brazil	South America
PP154126.1	2023-11-30	Brazil	South America
PP154129.1	2022-12-24	Brazil	South America
PP154132.1	2023-02-16	Brazil	South America
PP154135.1	2023-02-16	Brazil	South America
PP154138.1	2023-02-15	Brazil	South America
PP154141.1	2023-02-15	Brazil	South America
PP154144.1	2023-02-13	Brazil	South America
PP154147.1	2023-01-17	Brazil	South America
PP154150.1	2023-01-04	Brazil	South America
PP154153.1	2023-03-13	Brazil	South America
PP154156.1	2023-03-06	Brazil	South America
PP154159.1	2023-03-30	Brazil	South America
PP154162.1	2023-03-31	Brazil	South America
PP154165.1	2023-03-02	Brazil	South America
PP154168.1	2023-03-01	Brazil	South America
PP154171.1	2015-04-13	Brazil	South America
PP357049.1	1991	Brazil	South America
PP477315.1	2024-02-05	Colombia	South America
PP477316.1	2024-02-13	Colombia	South America
PP477317.1	2024-02-12	Colombia	South America
PP477318.1	2024-02-06	Colombia	South America
PP477319.1	2024-02-15	Colombia	South America
PP477320.1	2024-02-08	Colombia	South America
PP952118.3	2024-06	Italy	Europe
PP966972.1	2023-12-28	Peru	South America
PP966973.1	2024-01-16	Peru	South America
PP966974.1	2024-01-31	Peru	South America
PP966975.1	2024-02-06	Peru	South America
PP966976.1	2023-12-18	Peru	South America
PP966977.1	2024-01-05	Peru	South America
PP966978.1	2024-01-15	Peru	South America
PP966979.1	2022-02-21	Peru	South America
PP992527.1	2024-01-30	Brazil	South America
PP992528.1	2024-01-21	Brazil	South America
PQ064572.1	2024-01-08	Brazil	South America
PQ064575.1	2024-01-09	Brazil	South America
PQ064578.1	2024-01-08	Brazil	South America
PQ064581.1	2024-01-17	Brazil	South America
PQ064584.1	2024-01-17	Brazil	South America
PQ064587.1	2024-01-17	Brazil	South America
PQ064590.1	2024-01-17	Brazil	South America
PQ064593.1	2024-01-17	Brazil	South America
PQ064596.1	2024-01-19	Brazil	South America
PQ064599.1	2024-01-15	Brazil	South America
PQ064602.1	2024-01-05	Brazil	South America
PQ064605.1	2023-11-29	Brazil	South America
PQ064608.1	2024-01-05	Brazil	South America
PQ064611.1	2024-01-12	Brazil	South America
PQ064614.1	2024-01-12	Brazil	South America
PQ064617.1	2024-01-12	Brazil	South America
PQ064620.1	2023-11-30	Brazil	South America
PQ064623.1	2023-12-12	Brazil	South America
PQ064626.1	2023-12-14	Brazil	South America
PQ064629.1	2023-12-19	Brazil	South America
PQ064632.1	2023-11-24	Brazil	South America
PQ064635.1	2023-11-29	Brazil	South America
PQ064638.1	2023-12-15	Brazil	South America
PQ064641.1	2023-11-22	Brazil	South America
PQ064644.1	2023-12-14	Brazil	South America
PQ064647.1	2023-12-14	Brazil	South America
PQ064650.1	2023-12-15	Brazil	South America
PQ064653.1	2023-12-13	Brazil	South America
PQ064656.1	2023-12-13	Brazil	South America
PQ064659.1	2023-12-13	Brazil	South America
PQ064662.1	2023-12-13	Brazil	South America
PQ064665.1	2024-01-09	Brazil	South America
PQ064668.1	2024-01-04	Brazil	South America
PQ064671.1	2023-12-31	Brazil	South America
PQ064674.1	2023-12-29	Brazil	South America
PQ064677.1	2023-12-29	Brazil	South America
PQ064680.1	2024-01-02	Brazil	South America
PQ064683.1	2024-01-02	Brazil	South America
PQ064686.1	2023-12-29	Brazil	South America
PQ064689.1	2024-01-04	Brazil	South America
PQ064692.1	2023-12-29	Brazil	South America
PQ064695.1	2024-01-05	Brazil	South America
PQ064698.1	2024-01-04	Brazil	South America
PQ064701.1	2024-01-03	Brazil	South America
PQ064704.1	2024-01-04	Brazil	South America
PQ064707.1	2024-01-04	Brazil	South America
PQ064710.1	2024-01-04	Brazil	South America
PQ064713.1	2024-01-09	Brazil	South America
PQ064716.1	2023-12-29	Brazil	South America
PQ064719.1	2024-01-04	Brazil	South America
PQ064722.1	2024-01-04	Brazil	South America
PQ064725.1	2023-12-29	Brazil	South America
PQ064728.1	2024-01-04	Brazil	South America
PQ064731.1	2023-12-29	Brazil	South America
PQ064734.1	2023-12-29	Brazil	South America
PQ064737.1	2024-01-04	Brazil	South America
PQ064740.1	2023-12-29	Brazil	South America
PQ064743.1	2024-01-05	Brazil	South America
PQ064746.1	2024-01-03	Brazil	South America
PQ064749.1	2023-12-29	Brazil	South America
PQ064752.1	2024-01-04	Brazil	South America
PQ064755.1	2024-01-05	Brazil	South America
PQ064758.1	2023-12-29	Brazil	South America
PQ064761.1	2023-12-29	Brazil	South America
PQ064764.1	2024-01-05	Brazil	South America
PQ064767.1	2024-01-02	Brazil	South America
PQ064770.1	2023-12-30	Brazil	South America
PQ064773.1	2024-01-08	Brazil	South America
PQ064776.1	2024-01-07	Brazil	South America
PQ064779.1	2023-12-30	Brazil	South America
PQ064782.1	2024-01-07	Brazil	South America
PQ064785.1	2023-12-29	Brazil	South America
PQ064788.1	2024-01-07	Brazil	South America
PQ064791.1	2024-01-24	Brazil	South America
PQ064794.1	2023-12-30	Brazil	South America
PQ064797.1	2024-01-07	Brazil	South America
PQ064800.1	2024-01-07	Brazil	South America
PQ064803.1	2024-01-08	Brazil	South America
PQ064806.1	2024-01-26	Brazil	South America
PQ064809.1	2024-01-26	Brazil	South America
PQ064812.1	2023-12-31	Brazil	South America
PQ064815.1	2024-01-03	Brazil	South America
PQ064818.1	2024-01-03	Brazil	South America
PQ064821.1	2024-01-10	Brazil	South America
PQ064824.1	2024-01-08	Brazil	South America
PQ064827.1	2024-01-08	Brazil	South America
PQ064830.1	2024-01-04	Brazil	South America
PQ064833.1	2024-01-08	Brazil	South America
PQ064836.1	2024-01-01	Brazil	South America
PQ064839.1	2024-01-26	Brazil	South America
PQ064842.1	2024-01-03	Brazil	South America
PQ064845.1	2024-01-29	Brazil	South America
PQ064848.1	2024-01-29	Brazil	South America
PQ064851.1	2024-01-03	Brazil	South America
PQ064854.1	2024-01-01	Brazil	South America
PQ064857.1	2023-12-28	Brazil	South America
PQ064860.1	2023-12-27	Brazil	South America
PQ064863.1	2024-01-03	Brazil	South America
PQ064866.1	2024-01-03	Brazil	South America
PQ064869.1	2023-12-25	Brazil	South America
PQ064872.1	2023-12-22	Brazil	South America
PQ064875.1	2024-01-03	Brazil	South America
PQ064878.1	2023-12-23	Brazil	South America
PQ064881.1	2023-12-23	Brazil	South America
PQ064884.1	2024-02-01	Brazil	South America
PQ064887.1	2023-12-23	Brazil	South America
PQ064890.1	2024-01-03	Brazil	South America
PQ064893.1	2023-12-23	Brazil	South America
PQ064896.1	2024-01-30	Brazil	South America
PQ064899.1	2023-12-23	Brazil	South America
PQ064902.1	2024-01-03	Brazil	South America
PQ064905.1	2024-01-04	Brazil	South America
PQ064908.1	2023-12-24	Brazil	South America
PQ064911.1	2023-12-25	Brazil	South America
PQ064914.1	2023-12-25	Brazil	South America
PQ064917.1	2023-12-25	Brazil	South America
PQ064920.1	2024-01-03	Brazil	South America
PQ064923.1	2024-01-03	Brazil	South America
PQ064926.1	2024-01-03	Brazil	South America
PQ064929.1	2023-12-21	Brazil	South America
PQ064932.1	2024-01-04	Brazil	South America
PQ064935.1	2024-01-04	Brazil	South America
